DBN,SCHOOL NAME,Num of AP Test Takers,Num of AP Total Exams Taken,Num of AP Exams Passed,Num of AP Exams Failed
21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,55,71,6,65
21K410,ABRAHAM LINCOLN HIGH SCHOOL,121,149,79,70
21K525,EDWARD R. MURROW HIGH SCHOOL,457,690,406,284
21K540,JOHN DEWEY HIGH SCHOOL,278,511,253,258
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,42,43,17,26
22K405,MIDWOOD HIGH SCHOOL,788,1226,706,520
22K425,JAMES MADISON HIGH SCHOOL,263,378,215,163
22K495,SHEEPSHEAD BAY HIGH SCHOOL,29,45,13,32
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,386,651,398,253
24Q264,ACADEMY OF FINANCE AND ENTERPRISE,135,208,36,172
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,67,69,6,63
24Q293,CIVIC LEADERSHIP ACADEMY,40,65,13,52
24Q455,NEWTOWN HIGH SCHOOL,213,269,132,137
24Q485,GROVER CLEVELAND HIGH SCHOOL,150,223,92,131
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,257,386,77,309
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,152,172,115,57
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",42,42,19,23
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,104,130,43,87
25Q425,JOHN BOWNE HIGH SCHOOL,336,548,239,309
25Q460,FLUSHING HIGH SCHOOL,370,550,133,417
25Q525,TOWNSEND HARRIS HIGH SCHOOL,758,1249,937,312
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,95,151,43,108
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,722,1294,873,421
26Q430,FRANCIS LEWIS HIGH SCHOOL,819,1191,712,479
26Q435,MARTIN VAN BUREN HIGH SCHOOL,62,68,8,60
26Q495,BAYSIDE HIGH SCHOOL,734,1056,493,563
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",34,36,11,25
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,38,38,13,25
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,62,112,17,95
27Q323,SCHOLARS' ACADEMY,77,138,92,46
27Q475,RICHMOND HILL HIGH SCHOOL,135,164,33,131
27Q480,JOHN ADAMS HIGH SCHOOL,221,287,57,230
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",134,180,39,141
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,67,110,11,99
28Q350,JAMAICA GATEWAY TO THE SCIENCES,8,8,6,2
28Q440,FOREST HILLS HIGH SCHOOL,882,1235,629,606
28Q505,HILLCREST HIGH SCHOOL,216,317,69,248
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,221,309,114,195
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,115,146,67,79
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,15,15,6,9
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,231,427,345,82
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,71,99,8,91
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,54,72,40,32
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,231,326,156,170
30Q450,LONG ISLAND CITY HIGH SCHOOL,576,1035,228,807
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,135,176,83,93
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,46,47,17,30
30Q555,NEWCOMERS HIGH SCHOOL,163,203,153,50
30Q575,ACADEMY OF AMERICAN STUDIES,104,156,100,56
31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,66,74,26,48
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,31,48,9,39
31R080,THE MICHAEL J. PETRIDES SCHOOL,174,313,45,268
31R440,NEW DORP HIGH SCHOOL,143,185,76,109
31R445,PORT RICHMOND HIGH SCHOOL,210,340,86,254
31R450,CURTIS HIGH SCHOOL,426,510,113,397
31R455,TOTTENVILLE HIGH SCHOOL,424,861,335,526
31R460,SUSAN E. WAGNER HIGH SCHOOL,373,589,221,368
31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,595,1098,977,121
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,27,47,6,41
32K552,ACADEMY OF URBAN PLANNING,36,43,20,23
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,24,43,16,27
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,39,44,19,25
